league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2526,Atlético Madrid,Rayane Belaid,ESP,"MF,FW",20,2005,2,2,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Robin Le Normand,ESP,DF,28,1996,28,17,1789,19.9,1,1,2,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Rodrigo Mendoza,ESP,MF,20,2005,8,8,434,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Taufik Seidu,ESP,MF,17,2008,1,0,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Thiago Almada,ARG,"MF,FW",24,2001,27,16,1311,14.6,3,1,4,3,0,0,2,1,0.21,0.07,0.27,0.21,0.27,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Atlético Madrid,Álex Baena,ESP,"MF,FW",24,2001,27,21,1560,17.3,2,3,5,2,0,0,5,0,0.12,0.17,0.29,0.12,0.29,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Alejandro Balde,ESP,DF,21,2003,28,21,1869,20.8,0,2,2,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Alvaro Cortes,ESP,DF,20,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Andreas Christensen,DEN,DF,29,1996,13,3,409,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Dani Olmo,ESP,MF,27,1998,33,24,2067,23.0,7,8,15,7,0,0,1,0,0.3,0.35,0.65,0.3,0.65,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Dro Fernández,ESP,MF,17,2008,4,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Eric García,ESP,"DF,MF",24,2001,34,32,2721,30.2,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Fermin López,ESP,MF,22,2003,30,19,1797,20.0,6,9,15,6,0,0,3,0,0.3,0.45,0.75,0.3,0.75,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Ferran Torres,ESP,FW,25,2000,33,23,1965,21.8,16,2,18,16,0,0,2,0,0.73,0.09,0.82,0.73,0.82,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Frenkie de Jong,NED,MF,28,1997,25,16,1636,18.2,1,5,6,1,0,0,4,1,0.06,0.28,0.33,0.06,0.33,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Gavi,ESP,MF,20,2004,11,7,573,6.4,0,1,1,0,0,0,3,0,0.0,0.16,0.16,0.0,0.16,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Gerard Martín,ESP,DF,23,2002,32,26,2119,23.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,24,2001,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Jofre Torrents,ESP,DF,18,2007,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,João Cancelo,POR,DF,31,1994,16,11,954,10.6,2,2,4,2,0,0,1,0,0.19,0.19,0.38,0.19,0.38,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Jules Koundé,FRA,DF,26,1998,30,24,2261,25.1,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Lamine Yamal,ESP,"MF,FW",18,2007,28,26,2262,25.1,16,11,27,13,3,4,1,0,0.64,0.44,1.07,0.52,0.95,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Marc Bernal,ESP,MF,18,2007,22,9,790,8.8,2,1,3,2,0,0,4,0,0.23,0.11,0.34,0.23,0.34,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
ESP-La Liga,2526,Barcelona,Marc Casado,ESP,MF,21,2003,24,10,989,11.0,0,1,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,ESP,2025-2026,standard,2026-08-08T22:16:28.434875
