league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_scraped_at
GER-Bundesliga,2324,Gladbach,Lukas Ullrich,GER,DF,19,2004,0.5,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Manu Koné,FRA,MF,22,2001,17.3,1,24,8,33.3,1.38,0.46,0.04,0.13,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Marvin Friedrich,GER,DF,27,1995,17.4,0,12,2,16.7,0.69,0.11,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Maximilian Wöber,AUT,DF,25,1998,23.0,2,19,3,15.8,0.83,0.13,0.11,0.67,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Moritz Nicolas,GER,GK,25,1997,27.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Nathan N'Goumou,CMR,"MF,FW",23,2000,15.4,5,30,12,40.0,1.95,0.78,0.17,0.42,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Nico Elvedi,SUI,DF,26,1996,27.6,2,18,7,38.9,0.65,0.25,0.11,0.29,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Patrick Herrmann,GER,"FW,MF",32,1991,1.0,0,4,0,0.0,4.19,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Robin Hack,GER,"FW,MF",24,1998,15.0,10,43,22,51.2,2.87,1.47,0.23,0.45,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Rocco Reitz,GER,MF,21,2002,23.7,6,34,14,41.2,1.43,0.59,0.18,0.43,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Shiō Fukuda,JPN,FW,19,2004,0.4,0,2,0,0.0,5.0,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Stefan Lainer,AUT,"MF,DF",30,1992,8.3,0,3,0,0.0,0.36,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Tomáš Čvančara,CZE,"FW,MF",22,2000,10.0,4,36,13,36.1,3.62,1.31,0.08,0.23,1,2,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Tony Jantschke,GER,"DF,MF",33,1990,0.3,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Gladbach,Yvandro Borges Sanches,LUX,MF,19,2004,0.2,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Adrian Beck,GER,MF,26,1997,10.8,1,12,3,25.0,1.11,0.28,0.08,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Benedikt Gimber,GER,DF,26,1997,22.5,1,18,3,16.7,0.8,0.13,0.06,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Christian Kühlwetter,GER,"FW,MF",27,1996,0.1,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Denis Thomalla,GER,MF,30,1992,5.0,0,3,0,0.0,0.61,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Eren Dinkçi,GER,MF,21,2001,29.4,10,49,21,42.9,1.66,0.71,0.2,0.48,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Florian Pick,GER,MF,27,1995,3.6,0,8,1,12.5,2.2,0.28,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Jan Schöppner,GER,MF,24,1999,22.2,2,17,4,23.5,0.77,0.18,0.12,0.5,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Jan-Niklas Beste,GER,MF,24,1999,28.9,8,49,19,38.8,1.69,0.66,0.16,0.42,0,1,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Jonas Föhrenbach,GER,DF,27,1996,31.0,0,12,0,0.0,0.39,0.0,0.0,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Kevin Müller,GER,GK,32,1991,34.0,0,0,0,,0.0,0.0,,,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Kevin Sessa,GER,MF,23,2000,11.2,3,29,7,24.1,2.58,0.62,0.1,0.43,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Lennard Maloney,USA,MF,23,1999,25.4,1,14,3,21.4,0.55,0.12,0.07,0.33,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Marnon Busch,GER,DF,28,1994,6.6,0,5,1,20.0,0.76,0.15,0.0,0.0,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
GER-Bundesliga,2324,Heidenheim,Marvin Pieringer,GER,"FW,MF",23,1999,16.8,3,27,8,29.6,1.61,0.48,0.11,0.38,0,0,GER,2023-2024,shooting,2026-08-06T23:01:23.575625
