league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_scraped_at
FRA-Ligue 1,2324,Lens,Neil El Aynaoui,MAR,MF,22,2001,17.4,1,0,0,21,40,1,7,32,21,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Oscar Cortés,COL,MF,19,2003,0.5,0,0,0,0,1,1,2,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Przemysław Frankowski,POL,MF,28,1995,24.4,4,0,0,33,12,0,118,24,39,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Ruben Aguilar,FRA,"MF,DF",30,1993,21.4,3,0,0,20,24,3,75,24,33,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Salis Abdul Samed,GHA,MF,23,2000,16.9,2,0,0,34,16,0,3,13,14,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Stijn Spierings,NED,MF,27,1996,1.3,2,0,0,5,2,0,1,2,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lens,Wesley Saïd,FRA,FW,28,1995,11.3,1,0,0,33,15,8,16,5,5,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Aaron Malouda,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Adam Ounas,ALG,MF,26,1996,4.6,0,0,0,3,12,1,22,6,3,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Alan Virginius,FRA,MF,20,2003,0.8,0,0,0,0,0,0,1,0,1,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,24.7,6,1,0,26,37,1,2,36,24,,,1,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Andrej Ilic,SRB,FW,23,2000,0.1,0,0,0,1,0,0,0,0,0,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
FRA-Ligue 1,2324,Lille,Angel Gomes,ENG,MF,22,2000,28.6,5,0,0,31,37,0,45,18,13,,,0,FRA,2023-2024,misc,2026-08-06T23:14:30.313850
