league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ITA-Serie A,2526,Fiorentina,Tariq Lamptey,GHA,MF,24,2000,2,1,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Aarón Martín,ESP,"MF,DF",28,1997,33,26,2156,24.0,1,5,6,1,0,1,2,0,0.04,0.21,0.25,0.04,0.25,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Albert Grønbaek,DEN,MF,24,2001,4,1,103,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Alessandro Marcandalli,ITA,DF,22,2002,32,29,2597,28.9,0,2,2,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Amorim,BRA,MF,20,2005,11,6,552,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Brooke Norton-Cuffy,ENG,"MF,DF",21,2004,27,25,2212,24.6,2,1,3,2,0,0,5,1,0.08,0.04,0.12,0.08,0.12,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Caleb Ekuban,GHA,"FW,MF",31,1994,31,6,994,11.0,4,1,5,4,0,0,0,0,0.36,0.09,0.45,0.36,0.45,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Daniele Sommariva,ITA,GK,28,1997,2,1,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Filippo Carbone,ITA,MF,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Gael Lafont,FRA,FW,19,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Jacopo Grossi,ITA,MF,18,2006,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Jean Onana,CMR,MF,25,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
ITA-Serie A,2526,Genoa,Jeff Ekhator,ITA,"FW,MF",18,2006,30,9,956,10.6,3,0,3,3,0,0,3,0,0.28,0.0,0.28,0.28,0.28,ITA,2025-2026,standard,2026-08-08T22:19:44.013809
