league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2425,Rayo Vallecano,Aridane Hernández,ESP,DF,35,1989,14,1025,73,30.0,11.4,11,84,9,3,33,23,1.21,13,17,-4,-0.35,-0.35,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Augusto Batalla,ARG,GK,28,1996,32,2880,90,84.2,32.0,32,90,32,0,,3,1.31,34,39,-5,-0.16,-0.32,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Dani Cárdenas,ESP,GK,27,1997,6,540,90,15.8,6.0,6,90,6,0,,32,1.67,7,6,1,0.17,0.32,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Diego Méndez,ESP,MF,20,2003,0,,,,,0,,0,0,,1,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Etienne Eto'o,CMR,FW,21,2002,2,40,20,1.2,0.4,0,,0,2,20,8,0.5,2,1,1,2.25,2.38,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Florian Lejeune,FRA,DF,33,1991,37,3325,90,97.2,36.9,37,90,36,0,,0,1.32,39,45,-6,-0.16,-2.06,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Gerard Gumbau,ESP,MF,29,1994,22,849,39,24.8,9.4,7,65,0,15,26,15,1.18,8,13,-5,-0.53,-0.57,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Isaac Palazón Camacho,ESP,"MF,FW",29,1994,35,2162,62,63.2,24.0,25,78,10,10,21,0,1.43,26,27,-1,-0.04,0.17,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Iván Balliu,ALB,DF,32,1992,25,1200,48,35.1,13.3,12,83,9,13,16,13,1.72,12,12,0,0.0,0.16,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,James Rodríguez,COL,MF,33,1991,6,140,23,4.1,1.6,1,63,0,5,15,5,1.33,4,2,2,1.29,1.45,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Joni Montiel,ESP,MF,25,1998,0,,,,,0,,0,0,,3,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Jorge de Frutos,ESP,"MF,FW",27,1997,36,2495,69,73.0,27.7,30,76,6,6,37,0,1.42,35,30,5,0.18,1.06,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Juanpe,ESP,GK,23,2001,0,,,,,0,,0,0,,7,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
ESP-La Liga,2425,Rayo Vallecano,Marco de las Sías,ESP,DF,18,2005,0,,,,,0,,0,0,,18,,,,,,,ESP,2024-2025,playing_time,fbref_soccerdata,2026-08-10 21:47:31
