league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ESP-La Liga,2526,Rayo Vallecano,Carlos Martín,ESP,"MF,FW",23,2002,5.0,0,9,4,44.4,1.8,0.8,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Dani Cárdenas,ESP,GK,28,1997,4.0,0,0,0,,0.0,0.0,,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Florian Lejeune,FRA,DF,34,1991,35.9,2,50,18,36.0,1.39,0.5,0.04,0.11,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Francisco Perez,ESP,"MF,FW",22,2002,13.7,2,17,8,47.1,1.24,0.58,0.12,0.25,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Gerard Gumbau,ESP,MF,30,1994,13.1,0,20,5,25.0,1.53,0.38,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Ilias Akhomach,MAR,"MF,FW",21,2004,7.9,0,18,6,33.3,2.28,0.76,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Isaac Palazón Camacho,ESP,"MF,FW",30,1994,25.0,3,52,15,28.8,2.08,0.6,0.02,0.07,2,3,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Iván Balliu,ALB,DF,33,1992,6.5,0,4,0,0.0,0.62,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Jorge de Frutos,ESP,"FW,MF",28,1997,27.4,10,62,28,45.2,2.27,1.02,0.15,0.32,1,1,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Jozhua Vertrouwd,NED,DF,20,2004,5.0,0,1,0,0.0,0.2,0.0,0.0,,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Luiz Felipe,ITA,DF,28,1997,5.2,0,3,1,33.3,0.57,0.19,0.0,0.0,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
ESP-La Liga,2526,Rayo Vallecano,Nobel Mendy,SEN,DF,20,2004,20.0,2,11,3,27.3,0.55,0.15,0.18,0.67,0,0,ESP,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:48:33
