league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2526,Arsenal,Ben White,ENG,DF,27,1997,7.8,0,5,1,20.0,0.64,0.13,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Bukayo Saka,ENG,"FW,MF",23,2001,24.7,7,71,27,38.0,2.88,1.09,0.08,0.22,1,1,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Christian Nørgaard,DEN,MF,31,1994,1.2,0,2,1,50.0,1.7,0.85,0.0,0.0,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,ESP,DF,21,2004,11.0,0,1,0,0.0,0.09,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29,1995,37.0,0,0,0,,0.0,0.0,,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Declan Rice,ENG,MF,26,1999,34.4,4,40,13,32.5,1.16,0.38,0.1,0.31,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Eberechi Eze,ENG,"MF,FW",27,1998,20.1,7,57,18,31.6,2.83,0.89,0.12,0.39,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Ethan Nwaneri,ENG,MF,18,2007,1.9,0,6,0,0.0,3.16,0.0,0.0,,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Gabriel Jesus,BRA,FW,28,1997,4.8,3,19,12,63.2,3.99,2.52,0.16,0.25,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,BRA,DF,27,1997,30.6,3,27,7,25.9,0.88,0.23,0.11,0.43,0,0,ENG,2025-2026,shooting,fbref_soccerdata,2026-08-10 21:43:43
