league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,23.5,9,0,0,42,31,1,47,30,33,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,21.8,7,0,0,46,21,0,2,30,56,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,MF,19,2005,0.0,0,0,0,0,0,0,0,0,1,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,1989,2.0,2,0,0,5,0,0,0,4,2,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24,1999,37.9,3,0,0,25,44,11,200,11,30,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,31.3,8,1,0,44,28,1,18,46,47,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23,2001,1.3,0,0,0,2,4,0,3,1,1,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,21.3,2,0,0,8,4,0,9,23,15,,,1,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,5.1,1,0,0,5,10,1,10,3,9,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,0.3,0,0,0,2,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,MF,18,2005,0.1,0,0,0,0,0,0,0,0,2,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,1.6,0,0,0,0,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Igor Thiago,BRA,FW,23,2001,1.9,0,0,0,3,3,1,2,1,3,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23,2001,34.4,7,0,0,18,31,4,75,20,27,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Kevin Schade,GER,"MF,FW",22,2001,25.5,3,0,0,21,38,13,39,5,26,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,19,2004,0.3,0,0,0,1,0,0,0,0,0,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,26,1998,16.0,5,0,0,13,6,2,14,11,19,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999,12.2,2,0,0,6,10,0,30,4,8,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,36.4,1,0,0,0,3,0,0,0,4,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,28,1996,9.6,2,0,0,7,10,0,33,7,9,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004,5.9,2,0,0,8,3,0,10,7,11,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,MF,24,2000,32.3,2,0,0,18,27,6,147,29,44,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,23,2001,38.0,5,0,0,28,31,6,8,34,24,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Rico Henry,JAM,"DF,MF",27,1997,1.1,0,0,0,2,2,0,2,1,2,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,21,2003,0.0,0,0,0,0,0,0,0,0,1,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,22,2001,28.7,3,0,0,23,5,1,7,22,24,,,0,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,26,1998,25.0,3,0,0,25,15,1,31,27,24,,,2,ENG,2024-2025,misc,fbref_soccerdata,2026-08-10 21:42:21
