league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2425,Como,Dele Alli,ENG,"FW,MF",28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Edoardo Goldaniga,ITA,DF,30,1993,28.1,12,1,1,44,36,4,9,31,21,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Emil Audero,IDN,GK,27,1997,8.0,0,0,0,0,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Federico Barba,ITA,DF,30,1993,4.8,0,0,0,3,1,0,3,4,2,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Fellipe Jack,BRA,DF,18,2006,1.9,2,0,0,5,1,0,0,4,4,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Gabriel Strefezza,BRA,"MF,FW",27,1997,29.1,5,0,0,46,71,2,124,13,38,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Ignace Van Der Brempt,BEL,DF,22,2002,14.0,3,0,0,21,15,0,20,16,30,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Ivan Smolčić,CRO,DF,23,2000,7.0,2,0,0,11,5,0,4,10,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Jean Butez,FRA,GK,29,1995,18.5,0,0,0,1,2,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Jonathan Ikone,FRA,"MF,FW",26,1998,6.0,1,0,0,3,7,2,1,0,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Luca Mazzitelli,ITA,MF,28,1995,3.7,1,0,0,8,4,0,12,3,7,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Lucas Da Cunha,FRA,MF,23,2001,29.0,4,0,0,21,29,1,101,16,26,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Marc-Oliver Kempf,GER,DF,29,1995,29.1,6,1,1,21,20,0,4,29,21,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Marco Sala,ITA,DF,25,1999,2.9,3,0,0,5,1,0,9,1,7,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Matthias Braunöder,AUT,MF,22,2002,3.0,3,1,1,10,5,0,0,2,4,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Maxence Caqueret,FRA,MF,24,2000,12.1,4,0,0,17,11,1,16,6,20,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Máximo Perrone,ARG,MF,21,2003,20.6,6,0,0,26,13,0,4,20,26,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Mërgim Vojvoda,KVX,DF,29,1995,8.0,2,0,0,8,2,1,26,4,6,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Nicolás Paz,ARG,"MF,FW",19,2004,29.9,6,0,0,47,33,2,42,20,32,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Oliver Abildgaard,DEN,"DF,MF",28,1996,0.1,0,0,0,0,1,0,0,0,0,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
ITA-Serie A,2425,Como,Patrick Cutrone,ITA,FW,26,1998,22.7,1,0,0,23,28,20,30,5,9,,,0,ITA,2024-2025,misc,fbref_soccerdata,2026-08-10 21:58:21
